Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
1,05-02-2010," $16,43,690.90 ",0,42.31,$2.57,211.0963582,8.106
1,12-02-2010," $16,41,957.44 ",1,38.51,$2.55,211.2421698,8.106
1,19-02-2010," $16,11,968.17 ",0,39.93,$2.51,211.2891429,8.106
1,26-02-2010," $14,09,727.59 ",0,46.63,$2.56,211.3196429,8.106
1,05-03-2010," $15,54,806.68 ",0,46.5,$2.63,211.3501429,8.106
1,12-03-2010," $14,39,541.59 ",0,57.79,$2.67,211.3806429,8.106
1,19-03-2010," $14,72,515.79 ",0,54.58,$2.72,211.215635,8.106
1,26-03-2010," $14,04,429.92 ",0,51.45,$2.73,211.0180424,8.106
1,02-04-2010," $15,94,968.28 ",0,62.27,$2.72,210.8204499,7.808
1,09-04-2010," $15,45,418.53 ",0,65.86,$2.77,210.6228574,7.808
1,16-04-2010," $14,66,058.28 ",0,66.32,$2.81,210.4887,7.808
1,23-04-2010," $13,91,256.12 ",0,64.84,$2.80,210.4391228,7.808
1,30-04-2010," $14,25,100.71 ",0,67.41,$2.78,210.3895456,7.808
1,07-05-2010," $16,03,955.12 ",0,72.55,$2.84,210.3399684,7.808
1,14-05-2010," $14,94,251.50 ",0,74.78,$2.85,210.3374261,7.808
1,21-05-2010," $13,99,662.07 ",0,76.44,$2.83,210.6170934,7.808
1,28-05-2010," $14,32,069.95 ",0,80.44,$2.76,210.8967606,7.808
1,04-06-2010," $16,15,524.71 ",0,80.69,$2.71,211.1764278,7.808
1,11-06-2010," $15,42,561.09 ",0,80.43,$2.67,211.4560951,7.808
1,18-06-2010," $15,03,284.06 ",0,84.11,$2.64,211.4537719,7.808
1,25-06-2010," $14,22,711.60 ",0,84.34,$2.65,211.3386526,7.808
1,02-07-2010," $14,92,418.14 ",0,80.91,$2.67,211.2235333,7.787
1,09-07-2010," $15,46,074.18 ",0,80.48,$2.64,211.108414,7.787
1,16-07-2010," $14,48,938.92 ",0,83.15,$2.62,211.1003854,7.787
1,23-07-2010," $13,85,065.20 ",0,83.36,$2.61,211.2351443,7.787
1,30-07-2010," $13,71,986.60 ",0,81.84,$2.64,211.3699032,7.787
1,06-08-2010," $16,05,491.78 ",0,87.16,$2.63,211.5046621,7.787
1,13-08-2010," $15,08,237.76 ",0,87,$2.69,211.6394211,7.787
1,20-08-2010," $15,13,080.49 ",0,86.65,$2.66,211.6033633,7.787
1,27-08-2010," $14,49,142.92 ",0,85.22,$2.62,211.5673056,7.787
1,03-09-2010," $15,40,163.53 ",0,81.21,$2.58,211.5312479,7.787
1,10-09-2010," $15,07,460.69 ",1,78.69,$2.57,211.4951902,7.787
1,17-09-2010," $14,30,378.67 ",0,82.11,$2.58,211.5224596,7.787
1,24-09-2010," $13,51,791.03 ",0,80.94,$2.62,211.5972246,7.787
1,01-10-2010," $14,53,329.50 ",0,71.89,$2.60,211.6719895,7.838
1,08-10-2010," $15,08,239.93 ",0,63.93,$2.63,211.7467544,7.838
1,15-10-2010," $14,59,409.10 ",0,67.18,$2.72,211.8137436,7.838
1,22-10-2010," $13,45,454.00 ",0,69.86,$2.73,211.8612937,7.838
1,29-10-2010," $13,84,209.22 ",0,69.64,$2.72,211.9088438,7.838
1,05-11-2010," $15,51,659.28 ",0,58.74,$2.69,211.9563939,7.838
1,12-11-2010," $14,94,479.49 ",0,59.61,$2.73,212.003944,7.838
1,19-11-2010," $14,83,784.18 ",0,51.41,$2.77,211.8896737,7.838
1,26-11-2010," $19,55,624.11 ",1,64.52,$2.74,211.7484333,7.838
1,03-12-2010," $15,48,033.78 ",0,49.27,$2.71,211.607193,7.838
1,10-12-2010," $16,82,614.26 ",0,46.33,$2.84,211.4659526,7.838
1,17-12-2010," $18,91,034.93 ",0,49.84,$2.87,211.4053124,7.838
1,24-12-2010," $23,87,950.20 ",0,52.33,$2.89,211.4051222,7.838
1,31-12-2010," $13,67,320.01 ",1,48.43,$2.94,211.4049321,7.838
1,07-01-2011," $14,44,732.28 ",0,48.27,$2.98,211.4047419,7.742
1,14-01-2011," $13,91,013.96 ",0,35.4,$2.98,211.4574109,7.742
1,21-01-2011," $13,27,405.42 ",0,44.04,$3.02,211.8272343,7.742
1,28-01-2011," $13,16,899.31 ",0,43.83,$3.01,212.1970577,7.742
1,04-02-2011," $16,06,629.58 ",0,42.27,$2.99,212.5668812,7.742
1,11-02-2011," $16,49,614.93 ",1,36.39,$3.02,212.9367046,7.742
1,18-02-2011," $16,86,842.78 ",0,57.36,$3.05,213.2478853,7.742
1,25-02-2011," $14,56,800.28 ",0,62.9,$3.07,213.535609,7.742
1,04-03-2011," $16,36,263.41 ",0,59.58,$3.29,213.8233327,7.742
1,11-03-2011," $15,53,191.63 ",0,53.56,$3.46,214.1110564,7.742
1,18-03-2011," $15,76,818.06 ",0,62.76,$3.49,214.3627114,7.742
1,25-03-2011," $15,41,102.38 ",0,69.97,$3.47,214.5999389,7.742
1,01-04-2011," $14,95,064.75 ",0,59.17,$3.52,214.8371664,7.682
1,08-04-2011," $16,14,259.35 ",0,67.84,$3.62,215.0743939,7.682
1,15-04-2011," $15,59,889.00 ",0,71.27,$3.74,215.2918561,7.682
1,22-04-2011," $15,64,819.81 ",0,72.99,$3.81,215.4599053,7.682
1,29-04-2011," $14,55,090.69 ",0,72.03,$3.81,215.6279544,7.682
1,06-05-2011," $16,29,391.28 ",0,64.61,$3.91,215.7960035,7.682
1,13-05-2011," $16,04,775.58 ",0,75.64,$3.90,215.9640526,7.682
1,20-05-2011," $14,28,218.27 ",0,67.63,$3.91,215.7339202,7.682
1,27-05-2011," $14,66,046.67 ",0,77.72,$3.79,215.5037878,7.682
1,03-06-2011," $16,35,078.41 ",0,83,$3.70,215.2736553,7.682
1,10-06-2011," $15,88,948.32 ",0,83.13,$3.65,215.0435229,7.682
1,17-06-2011," $15,32,114.86 ",0,86.41,$3.64,214.9980596,7.682
1,24-06-2011," $14,38,830.15 ",0,83.58,$3.59,215.0910982,7.682
1,01-07-2011," $14,88,538.09 ",0,85.55,$3.52,215.1841368,7.962
1,08-07-2011," $15,34,849.64 ",0,85.83,$3.48,215.2771754,7.962
1,15-07-2011," $14,55,119.97 ",0,88.54,$3.58,215.3611087,7.962
1,22-07-2011," $13,96,926.82 ",0,85.77,$3.65,215.4222784,7.962
1,29-07-2011," $13,52,219.79 ",0,86.83,$3.68,215.4834482,7.962
1,05-08-2011," $16,24,383.75 ",0,91.65,$3.68,215.544618,7.962
1,12-08-2011," $15,25,147.09 ",0,90.76,$3.64,215.6057878,7.962
1,19-08-2011," $15,30,761.43 ",0,89.94,$3.55,215.6693107,7.962
1,26-08-2011," $14,64,693.46 ",0,87.96,$3.52,215.7332258,7.962
1,02-09-2011," $15,50,229.22 ",0,87.83,$3.53,215.7971409,7.962
1,09-09-2011," $15,40,471.24 ",1,76,$3.55,215.861056,7.962
1,16-09-2011," $15,14,259.78 ",0,79.94,$3.53,216.0410526,7.962
1,23-09-2011," $13,80,020.27 ",0,75.8,$3.47,216.3758246,7.962
1,30-09-2011," $13,94,561.83 ",0,79.69,$3.36,216.7105965,7.962
1,07-10-2011," $16,30,989.95 ",0,69.31,$3.29,217.0453684,7.866
1,14-10-2011," $14,93,525.93 ",0,71.74,$3.27,217.3552733,7.866
1,21-10-2011," $15,02,562.78 ",0,63.71,$3.35,217.5159762,7.866
1,28-10-2011," $14,45,249.09 ",0,66.57,$3.37,217.6766791,7.866
1,04-11-2011," $16,97,229.58 ",0,54.98,$3.33,217.837382,7.866
1,11-11-2011," $15,94,938.89 ",0,59.11,$3.30,217.9980849,7.866
1,18-11-2011," $15,39,483.70 ",0,62.25,$3.31,218.2205088,7.866
1,25-11-2011," $20,33,320.66 ",1,60.14,$3.24,218.4676211,7.866
1,02-12-2011," $15,84,083.95 ",0,48.91,$3.17,218.7147333,7.866
1,09-12-2011," $17,99,682.38 ",0,43.93,$3.16,218.9618456,7.866
1,16-12-2011," $18,81,176.67 ",0,51.63,$3.16,219.1794533,7.866
1,23-12-2011," $22,70,188.99 ",0,47.96,$3.11,219.3577216,7.866
1,30-12-2011," $14,97,462.72 ",1,44.55,$3.13,219.5359898,7.866
1,06-01-2012," $15,50,369.92 ",0,49.01,$3.16,219.7142581,7.348
1,13-01-2012," $14,59,601.17 ",0,48.53,$3.26,219.8925263,7.348
1,20-01-2012," $13,94,393.84 ",0,54.11,$3.27,219.9856893,7.348
1,27-01-2012," $13,19,325.59 ",0,54.26,$3.29,220.0788523,7.348
1,03-02-2012," $16,36,339.65 ",0,56.55,$3.36,220.1720153,7.348
1,10-02-2012," $18,02,477.43 ",1,48.02,$3.41,220.2651783,7.348
1,17-02-2012," $18,19,870.00 ",0,45.32,$3.51,220.4257586,7.348
1,24-02-2012," $15,39,387.83 ",0,57.25,$3.56,220.636902,7.348
1,02-03-2012," $16,88,420.76 ",0,60.96,$3.63,220.8480454,7.348
1,09-03-2012," $16,75,431.16 ",0,58.76,$3.67,221.0591887,7.348
1,16-03-2012," $16,77,472.78 ",0,64.74,$3.73,221.2118132,7.348
1,23-03-2012," $15,11,068.07 ",0,65.93,$3.79,221.2864126,7.348
1,30-03-2012," $16,49,604.63 ",0,67.61,$3.85,221.3610119,7.348
1,06-04-2012," $18,99,676.88 ",0,70.43,$3.89,221.4356112,7.143
1,13-04-2012," $16,21,031.70 ",0,69.07,$3.89,221.5102105,7.143
1,20-04-2012," $15,21,577.87 ",0,66.76,$3.88,221.5640737,7.143
1,27-04-2012," $14,68,928.37 ",0,67.23,$3.81,221.6179368,7.143
1,04-05-2012," $16,84,519.99 ",0,75.55,$3.75,221.6718,7.143
1,11-05-2012," $16,11,096.05 ",0,73.77,$3.69,221.7256632,7.143
1,18-05-2012," $15,95,901.87 ",0,70.33,$3.63,221.742674,7.143
1,25-05-2012," $15,55,444.55 ",0,77.22,$3.56,221.744944,7.143
1,01-06-2012," $16,24,477.58 ",0,77.95,$3.50,221.7472139,7.143
1,08-06-2012," $16,97,230.96 ",0,78.3,$3.45,221.7494839,7.143
1,15-06-2012," $16,30,607.00 ",0,79.35,$3.39,221.7626421,7.143
1,22-06-2012," $15,27,845.81 ",0,78.39,$3.35,221.8030211,7.143
1,29-06-2012," $15,40,421.49 ",0,84.88,$3.29,221.8434,7.143
1,06-07-2012," $17,69,854.16 ",0,81.57,$3.23,221.8837789,6.908
1,13-07-2012," $15,27,014.04 ",0,77.12,$3.26,221.9241579,6.908
1,20-07-2012," $14,97,954.76 ",0,80.42,$3.31,221.9327267,6.908
1,27-07-2012," $14,39,123.71 ",0,82.66,$3.41,221.9412954,6.908
1,03-08-2012," $16,31,135.79 ",0,86.11,$3.42,221.9498642,6.908
1,10-08-2012," $15,92,409.97 ",0,85.05,$3.49,221.9584329,6.908
